256
     8.000      0.000      0.000
     0.000      8.000      0.000
     0.000      0.000      8.000
      1.000      -0.123      -2.974       1.330
      1.000       3.479      -2.169       1.602
      1.000      -0.756      -0.514      -0.582
      1.000       0.658      -3.569      -1.255
      1.000       0.415       1.726       0.023
      1.000       1.574       2.370       2.072
      1.000      -2.252      -1.128      -0.180
      1.000      -0.597      -2.113       1.884
      1.000       2.072      -1.721      -2.000
      1.000      -3.566       0.932       1.976
      1.000      -0.515      -2.259      -0.547
      1.000       3.016      -2.635       0.697
      1.000       0.840      -1.423      -1.790
      1.000       2.680       1.577      -3.268
      1.000       0.888      -0.889       3.569
      1.000      -0.740       0.123       1.379
      1.000      -1.204       2.890       1.632
      1.000       2.430       3.947       3.764
      1.000       1.081       3.561      -0.451
      1.000      -2.217      -0.870      -1.117
      1.000      -2.441       3.744      -3.937
      1.000       3.816      -3.834       0.833
      1.000       1.111      -3.547       3.498
      1.000      -1.827      -0.024      -0.674
      1.000      -0.846       2.602       0.602
      1.000       2.585       0.977      -1.987
      1.000      -1.368      -0.773       0.353
      1.000       3.378      -3.816      -3.002
      1.000       3.147       2.440       0.785
      1.000       1.593       0.514      -1.936
      1.000      -2.126       1.304      -3.699
      1.000      -1.943      -0.328       1.341
      1.000      -0.882       0.987      -0.875
      1.000      -2.919       3.583      -2.813
      1.000       2.942       3.833       2.177
      1.000       1.097      -0.939       1.570
      1.000       1.407      -0.270       2.499
      1.000       0.819       2.237       2.908
      1.000       3.018       2.461      -0.712
      1.000      -1.708       3.766      -2.630
      1.000       1.909       3.895      -1.786
      1.000       0.702      -2.402       3.426
      1.000      -0.586       1.288       0.167
      1.000      -2.069      -3.236      -3.473
      1.000       2.077      -2.671       3.725
      1.000       0.573      -2.635      -0.539
      1.000       1.526       0.666       1.929
      1.000      -3.234      -2.800      -0.741
      1.000      -1.783      -3.298       2.057
      1.000      -2.853      -3.585       0.492
      1.000       2.656      -2.571      -1.669
      1.000      -3.699       3.935      -2.204
      1.000       1.084       0.707      -3.125
      1.000      -1.630       0.480       1.823
      1.000      -1.819      -0.336      -1.944
      1.000      -1.599       0.750       0.738
      1.000      -2.011      -1.063      -3.643
      1.000      -0.134       0.104       0.429
      1.000       2.774       0.486       2.728
      1.000       2.464      -3.431      -3.337
      1.000       2.437       3.430      -0.746
      1.000      -1.240       1.792      -3.729
      1.000      -1.607      -0.559       3.400
      1.000       2.621      -0.189      -0.760
      1.000       3.249       1.021       3.931
      1.000      -0.624      -2.600      -3.503
      1.000      -3.504       2.336      -2.445
      1.000      -3.308       3.431       3.496
      1.000       1.550      -0.057      -0.286
      1.000       1.879       2.764      -3.000
      1.000       0.353      -2.262      -2.097
      1.000      -2.918      -0.118      -3.800
      1.000      -3.167      -0.895      -0.583
      1.000      -2.846       0.095      -1.019
      1.000       2.116      -3.667       1.667
      1.000       3.027      -0.218      -2.837
      1.000      -3.374       3.407      -0.689
      1.000      -2.168       3.656      -0.519
      1.000      -2.684      -3.808      -1.250
      1.000      -3.252       1.659       3.981
      1.000       3.458      -0.795       0.358
      1.000      -1.299      -1.876      -3.726
      1.000      -2.545       0.898       3.448
      1.000      -0.158       3.797      -0.260
      1.000       1.369      -2.845      -2.566
      1.000       2.626      -2.198      -2.976
      1.000       3.661       3.201      -2.413
      1.000      -0.225       1.677      -3.152
      1.000       1.943       2.573       3.861
      1.000      -0.798       1.092      -2.171
      1.000      -3.266      -1.799       1.742
      1.000       1.402      -2.799      -1.451
      1.000      -1.864       0.753      -2.079
      1.000       3.011      -0.457       2.421
      1.000      -0.563      -1.078      -3.632
      1.000      -3.011       0.177       0.460
      1.000       1.714      -0.704      -1.802
      1.000       2.763       2.423      -2.561
      1.000      -0.855      -1.986      -2.637
      1.000       0.241      -0.022      -3.417
      1.000      -3.106       3.476       0.682
      1.000       3.564       1.282       2.129
      1.000       0.315       2.769      -1.268
      1.000      -3.957      -3.365      -1.555
      1.000      -0.892       2.789       2.674
      1.000      -0.756       3.645       0.881
      1.000       0.300       2.332       0.887
      1.000      -2.589       0.776       1.268
      1.000       2.132       2.901       2.945
      1.000       0.735      -1.660      -0.816
      1.000      -1.528       2.798      -1.432
      1.000      -3.587      -3.106       3.176
      1.000       1.122       3.137       3.522
      1.000      -0.724      -3.378       2.317
      1.000       3.651      -2.967      -2.411
      1.000       1.228       3.575       2.613
      1.000       1.956      -2.226       2.642
      1.000       3.806      -1.892       0.643
      1.000      -0.044      -1.096      -1.564
      1.000       1.549       1.391      -0.662
      1.000       3.960      -0.422      -3.728
      1.000      -1.786      -2.469      -1.510
      1.000       1.207      -0.270      -2.662
      1.000      -1.202      -2.567       1.160
      1.000      -3.722      -0.359       2.601
      1.000       2.636      -0.949       1.454
      1.000       3.576       1.916       3.448
      1.000      -3.097       3.082       1.598
      1.000       3.551       1.003      -3.083
      1.000       2.908      -1.885       2.653
      1.000       3.135       3.127      -3.271
      1.000       3.288      -3.107       1.715
      1.000      -3.714       2.097       2.543
      1.000       0.229       1.562      -1.751
      1.000       2.357       1.993       1.504
      1.000      -1.092      -3.439      -0.939
      1.000      -2.433       1.753       1.596
      1.000      -0.607       1.925      -0.853
      1.000       3.949       2.506      -3.448
      1.000       0.089       1.048       0.854
      1.000       0.780       1.765       3.798
      1.000      -0.965       0.837      -3.312
      1.000       3.775       0.596       0.690
      1.000      -1.596       1.770      -2.736
      1.000      -3.057      -1.463      -3.917
